filename,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,Label
Cold (1),-604.8192,31.754097,17.444843,1.6546867,-0.36402515,-14.876844,-11.842096,-27.749825,-1.6393025,-7.6876087,-24.817396,1.4732733,-26.143658,-0.53195685,0.17316478,-0.044005208,-0.095411874,0.06761264,0.08162336,0.26905134,0.11252306,-0.073379554,0.007987105,0.080119185,-0.05271166,-0.062158085,-0.6081321,-0.07924636,0.06738896,0.111930184,-0.0016811076,0.15067965,0.029110447,0.04994778,0.09840566,-0.0029167067,0.03994964,-0.044703215,-0.05080586,1.2863374e-07,2.6075892e-07,2.6069933e-05,1.3388768e-05,0.00019848594,5.7008234e-05,0.00011658651,6.182469e-05,3.3038796e-05,0.00048622838,0.00020764428,0.00043746392,0.00062185206,0.00034562498,0.00312845,0.000896728,0.0018599153,0.0008032889,0.00046414792,0.0013893972,0.0004282729,0.0009022392,0.0006040814,0.00036272156,0.0004963856,9.225793e-05,0.00017256927,0.00022605697,0.00014100365,0.00030607896,8.7081324e-05,0.00018228129,9.840388e-05,6.374036e-05,0.0002531287,0.00012513544,0.00029612108,0.0001566009,0.0001013242,5.769753e-05,1.9270383e-05,2.1535623e-05,4.4315148e-05,4.3226803e-05,5.369944e-05,8.742482e-05,4.9599785e-05,2.0487827e-05,2.878347e-05,4.97026e-05,7.616996e-05,3.8035174e-05,1.9509087e-05,2.6000927e-05,2.5283927e-05,3.0914776e-05,4.4092692e-05,9.978381e-05,0.00017578952,0.000109318986,9.012702e-05,0.00016763565,0.00013723857,0.00022064667,0.0002074504,6.80664e-05,3.4486966e-05,9.819532e-06,2.7811206e-05,2.3168557e-05,2.2118329e-05,2.0108651e-05,1.8186667e-05,1.6301208e-05,1.3965936e-05,1.171324e-05,9.692402e-06,1.0033124e-05,9.714425e-06,8.085779e-06,2.946561e-06,2.1231237e-06,4.934606e-06,6.2958356e-06,4.909522e-06,7.237639e-06,1.4452565e-05,1.4542173e-05,2.5767478e-05,3.8877042e-05,5.2586263e-05,4.6094152e-05,2.1480773e-05,6.143084e-05,0.00015803422,0.00018360208,0.00024549747,0.00045111266,0.0002775619,7.1301074e-05,7.898408e-05,0.00014106598,5.1432493e-05,1.0167206e-05,6.622187e-06,8.355087e-06,1.3766046e-05,7.813005e-06,5.0478834e-06,1.4313832e-05,9.676703e-05,0.00011546432,4.99394e-05,4.10676e-05,6.7500805e-05,0.00013601268,0.00024137243,0.00012963745,0.0001016065,0.00028035507,0.000340487,0.00020266324,9.242649e-05,4.0747003e-05,0.00011941309,0.000117948606,6.109314e-05,7.829501e-06,0.47893998,0.4749384,0.4738069,0.43889937,0.34158063,0.28696486,0.32321146,0.4212435,0.48106006,0.55595624,0.52987117,0.5717593,20.468249280968042,8.04024600732459,12.036896494220974,12.927393919032555,16.505303544785974,19.4536700510272,42.19634506220557,4267.7254904535375,3015.558095325713,0.06471424,8046.162215523098,ABNORMAL
Cold (10),-592.81995,72.59535,17.908138,17.677048,2.5528984,-17.905182,-26.166885,-14.087086,-19.256454,-6.8194704,-21.49704,-6.45661,-18.31034,-0.52906084,0.078026816,0.018839873,0.03236448,-0.05166127,-0.031911112,0.025040437,0.022644322,0.16835149,0.03360805,0.017370101,0.0072445087,0.08570341,-0.22262515,-0.1119207,-0.13048424,0.00252637,0.096120894,0.04139191,0.07298408,-0.009910322,0.021706566,-0.008941106,0.05560314,0.07092043,0.071735755,2.0479988e-06,4.151585e-06,7.0618057e-06,3.6267397e-06,3.199588e-05,0.00050785026,0.0010717649,0.021322599,0.011394685,0.07186229,0.017622516,0.035897385,0.009495833,0.0052777776,0.00325471,0.0008785398,0.001810153,0.0044147368,0.002550877,0.010128688,0.003144473,0.006630904,0.0030497983,0.0018312557,0.0014528211,0.00029449977,0.00056633446,0.001103735,0.0006884576,0.0028518126,0.0006496415,0.0012753045,0.000540195,0.00034990718,0.00020535034,3.984474e-05,7.142149e-05,4.0037725e-05,2.5905283e-05,3.8709743e-05,1.4240066e-05,1.5964657e-05,3.3106666e-05,1.8470266e-05,1.8920373e-05,2.2094135e-05,2.410308e-05,3.5782963e-05,3.7289705e-05,3.5072964e-05,3.678447e-05,7.004781e-05,4.3332908e-05,2.7984286e-05,3.931055e-05,3.400643e-05,3.529999e-05,0.00011006739,0.0001455103,0.000110487286,0.00012927887,0.00013155339,0.00012204669,0.00012608488,0.000117042924,0.0001382274,0.00015643638,0.00010891302,8.6158514e-05,9.102202e-05,0.00015047363,0.00014908166,8.102743e-05,6.766535e-05,6.0925082e-05,4.3055665e-05,3.4476758e-05,2.2405213e-05,1.0835125e-05,5.0742615e-06,5.6944864e-06,9.104438e-06,1.0160739e-05,1.68084e-05,3.9380106e-05,4.2584597e-05,5.2611882e-05,6.3734784e-05,6.56235e-05,6.514694e-05,3.352824e-05,1.3899424e-05,7.348587e-06,6.2155195e-06,4.8986035e-06,5.864934e-06,6.9872476e-06,9.84218e-06,1.0534374e-05,1.3150394e-05,1.1056371e-05,1.0058862e-05,9.118156e-06,9.11978e-06,1.5688609e-05,1.5894795e-05,1.5012746e-05,1.2839755e-05,8.06045e-06,1.4515059e-05,2.0786372e-05,1.9128454e-05,2.3453425e-05,3.0272775e-05,3.7572216e-05,3.6085305e-05,4.007307e-05,2.8423785e-05,4.410279e-05,3.7679256e-05,1.7920998e-05,6.7724327e-06,6.7276424e-06,3.0738865e-06,2.3993414e-05,8.146735e-05,4.5330147e-05,7.0532956e-06,0.6869527,0.6103484,0.5293415,0.49630004,0.38383588,0.26045176,0.25524884,0.30017978,0.36889398,0.4320554,0.5098297,0.62739843,9.16231252921735,12.14551050923813,12.1885626309661,13.367755868124028,15.885189036996415,16.801876539883065,38.51199204860664,2623.230026135084,2396.8408320374047,0.03455199,4748.0234375,ABNORMAL
Cold (100),-518.89435,49.23938,-2.2801318,11.278651,-9.2225485,-12.085928,-1.3853102,-13.330798,-10.882667,-6.503682,-8.012986,-6.710624,-12.287663,-0.37443313,0.23511982,0.11641994,-0.15271258,0.23365028,0.048907053,-0.054097954,0.106400676,-0.0109707415,-0.048825298,0.071034536,0.035316624,-0.013621925,-0.08538052,-0.018952178,-0.053559415,-0.0009619752,-0.024539853,0.050862264,-0.0049680592,0.07601308,0.02066365,0.0066990545,-0.001552847,-0.04589841,0.016585218,9.0970774e-05,0.00018441073,0.00019161546,9.840819e-05,0.00014343183,0.0002642449,0.00055523904,0.0052506886,0.0028059408,0.015744748,0.0035008776,0.007072327,0.0058481367,0.003250391,0.015046535,0.0020508887,0.0037530328,0.006949806,0.0040156636,0.02467652,0.008059131,0.017109012,0.0075659654,0.0045429952,0.002737099,0.0015803543,0.0036333005,0.0062437155,0.0038945347,0.0127032865,0.0034306624,0.0070852367,0.0030315104,0.0019636378,0.0063431426,0.0024188368,0.0054581156,0.0034254952,0.0022163703,0.0029720305,0.0015006871,0.0016967221,0.0023933703,0.0012826814,0.0012912266,0.0014490881,0.00154685,0.0013339735,0.0015623326,0.0018287305,0.0019937963,0.0013867285,0.0010930976,0.0009210061,0.0006410341,0.0012700227,0.0028234322,0.0023628566,0.0010588483,0.00042875568,0.0003926655,0.00043310766,0.0005254702,0.00053108047,0.000812428,0.0010990994,0.00072197564,0.00048213816,0.0003470621,0.0002408042,0.00025307163,0.00027005433,0.00034478688,0.0007283462,0.00038344084,0.00021781238,0.0003166431,0.0005017414,0.000408526,0.0004322857,0.00079421117,0.0013487756,0.0014153653,0.0010584303,0.00044524507,0.00028472696,0.0001902359,0.00016313563,0.00029130417,0.0005659842,0.00029483723,0.00019899059,0.0002496056,0.0002464803,0.00013626777,7.697778e-05,5.3154807e-05,0.0001033213,0.0002068501,0.00038173597,0.00051657803,0.0006378044,0.001287979,0.0009659391,0.00024860242,0.00013553412,0.00014167528,0.00029791298,0.00041678385,0.00045960088,0.0004328351,0.00010024144,0.000111689034,0.00049972563,0.0006841305,0.00023797073,0.00019043493,0.00010578472,0.00010358388,0.00013081715,0.00016466514,0.00012665345,6.601171e-05,4.66042e-05,0.00019622037,0.0006505096,0.00048874156,2.3092283e-05,0.4913564,0.44634926,0.36362493,0.3166944,0.336943,0.29820397,0.28208682,0.32493222,0.41287124,0.40395808,0.41836512,0.45061317,7.230938030114906,12.935178702694195,15.063281074454892,15.272276983814242,17.283273768610467,19.976476780411748,37.623587452171904,3141.109003387246,2550.0989371783494,0.03420903,5755.517578125,ABNORMAL
Cold (101),-507.10715,18.43973,22.06388,14.780544,-16.980856,-17.242289,-4.3450236,-12.741246,-11.301187,-6.463917,-4.8883166,-10.18856,-10.4388895,-0.2779103,0.2230615,0.28347158,0.13700432,-0.076263644,0.030902507,-0.013649211,-0.10192218,-0.14631501,0.063624695,-0.044258103,0.0061103543,-0.040739752,-0.032924443,0.0207658,-0.012594824,-0.0073204176,-0.020040797,-0.016684772,-9.9604695e-05,-0.0050515416,0.010114272,0.04857294,0.009157665,0.00070324226,0.0246092,4.949992e-05,0.00010034337,0.00020297754,0.00010424342,0.00021536349,0.00019728433,0.00041247098,0.0050848993,0.0027173439,0.024480607,0.008338204,0.017367732,0.003816486,0.0021212003,0.00029473184,0.0004900166,0.0011061239,0.0039661196,0.0022916617,0.01534627,0.007681679,0.017036248,0.00832934,0.0050013647,0.005061562,0.004833518,0.011501223,0.011019853,0.006873663,0.011306402,0.0020669608,0.0037255238,0.0029604228,0.001917591,0.009808604,0.0022326652,0.004313295,0.0009003135,0.00058252254,0.0005196126,0.00015237907,0.00016947354,0.0005329456,0.00045160562,0.00045751367,0.00050295616,0.00093148043,0.0015163291,0.0015061783,0.0012243555,0.00094213954,0.0007291053,0.0005994866,0.0003682528,0.00039229743,0.0007306788,0.00049306697,0.00018778346,9.282468e-05,6.652101e-05,9.250497e-05,0.00018075391,0.00016454427,0.00014699773,0.00013168865,0.00014278702,0.00011805378,0.00011958053,0.00018015073,0.0004906599,0.0015462823,0.0011092516,0.0008455588,0.0009580451,0.0013757603,0.0006157365,0.00031869445,0.0007266192,0.000962976,0.0012249482,0.0041647735,0.011378648,0.009414891,0.0024179807,0.0017430077,0.0025038482,0.0021135358,0.0028963175,0.0049364027,0.0030602615,0.0009080809,0.000674941,0.0005093733,0.0003235,0.00037669338,0.000713135,0.0010366244,0.0011721841,0.0013713058,0.0013522217,0.0032113984,0.004367722,0.0014906249,0.00082665705,0.0008218695,0.0011068744,0.0009696181,0.0013177248,0.0011306835,0.0007263082,0.00025133762,0.00038085788,0.00095723773,0.001732815,0.0009169116,0.00042418588,0.00036942723,0.0004848619,0.00037260228,0.0002567685,0.00018316499,0.00013141698,0.00016601676,0.00031664709,0.00096455694,0.0014367162,0.0009612693,0.00012885056,0.4422554,0.43711886,0.4290969,0.4090687,0.38114032,0.31471866,0.26640862,0.3060361,0.31474307,0.3619448,0.48051503,0.44391713,7.8514604920345095,13.475676295913658,15.562586748482628,15.90756359510808,17.66104284795522,19.3745356593797,37.2444661875091,3892.74714155141,2864.636793522114,0.042607255,7329.692263719512,ABNORMAL
Cold (102),-526.89716,52.975693,3.0939531,13.488316,-4.7874713,-26.222063,-2.5981836,-12.276523,-7.144765,-8.054539,-12.862857,-5.09246,-11.768094,-0.45802158,-0.06665739,-0.119681306,0.009307945,0.16031009,0.06696727,0.052547272,0.003759426,-0.009564206,0.0047570756,0.03720037,0.049457014,0.05300168,0.069537126,0.039847042,0.0061509674,0.02216677,0.030678904,-0.018610984,0.019323362,0.0038380139,0.029329197,-0.028969249,-0.0068226345,0.01540118,0.0329173,7.869149e-06,1.5951886e-05,1.6926737e-05,8.693085e-06,3.0140185e-05,0.00039622773,0.0008360983,0.0073279343,0.00391601,0.021495016,0.00405121,0.00805246,0.0017585007,0.0009773736,0.0005881593,0.00053993927,0.0012021018,0.0048922226,0.0028267729,0.02192196,0.005306376,0.010759387,0.0040984973,0.0024609484,0.0074321902,0.0025087656,0.0054051555,0.005137236,0.0032043646,0.013969133,0.003140112,0.006136865,0.0010228087,0.0006625165,0.0006739401,0.0005929901,0.001499596,0.00254829,0.0016487993,0.0020651282,0.00024458015,0.00025613228,0.00012102859,5.6858364e-05,9.3638126e-05,0.00021097588,0.00021963559,0.00017296313,0.00021977154,0.0002574103,0.00020950074,0.00025427004,0.00043199834,0.0003825493,0.00027812552,0.00024019562,0.00017578989,0.00030927945,0.0005427128,0.0005133295,0.0005559502,0.0006095318,0.00089147687,0.0015629492,0.0012945157,0.0012484919,0.00085911155,0.00078518817,0.0012186283,0.001141135,0.000808006,0.00049847644,0.0004081996,0.00041151006,0.0006651288,0.000968,0.0017146694,0.0020627175,0.0015448276,0.0007788917,0.0007037891,0.0010673677,0.0011719558,0.0004661782,0.00047503467,0.0009050477,0.00079811056,0.0005203167,0.0007702666,0.0006385965,0.00028435967,0.00024251029,0.00023011715,0.00013635145,0.000112430775,5.4531603e-05,5.480746e-05,7.700186e-05,7.3906755e-05,7.273851e-05,4.1356117e-05,4.186752e-05,4.720053e-05,3.6886722e-05,2.5053134e-05,1.160091e-05,2.9667579e-05,3.4220502e-05,4.9464375e-05,4.954668e-05,5.5135988e-05,2.8137356e-05,3.853181e-05,6.4838954e-05,6.781751e-05,5.0657414e-05,6.1023176e-05,4.8695692e-05,5.2932814e-05,6.411996e-05,4.8188253e-05,2.8635734e-05,2.147651e-05,1.9793377e-05,3.7979662e-05,0.0001407325,0.00024149628,1.7526681e-05,0.61592084,0.47608256,0.3429174,0.28653687,0.27362245,0.25573456,0.25274417,0.3271594,0.39997226,0.44651386,0.5112145,0.6106039,7.148777756244718,14.514183751268485,16.343484335506936,16.641451012963092,17.67636060383903,21.489393267831897,38.43045392275002,3057.400445029498,2956.2264288177703,0.02425692,6577.084103146115,ABNORMAL
Cold (103),-523.6251,53.068058,-12.647937,10.577199,-3.109469,-21.162952,-13.121539,-8.92408,-5.6252117,-9.221647,-10.480742,-1.328584,-12.629905,-0.22963671,-0.013852361,-0.16915408,-0.0005049645,0.03579962,0.10315724,-0.017631536,0.016544113,0.09516944,0.040818207,-0.08725366,0.04284079,0.08459848,-0.1693663,0.064764336,-0.056310516,0.010660908,0.03193981,0.0497158,0.051579162,0.0011098626,0.0073645087,-0.0008553176,0.050856482,-0.008873013,-0.0049605416,3.9314973e-06,7.969704e-06,1.1751722e-05,6.035346e-06,3.436555e-05,0.00033883605,0.0007148292,0.004686408,0.002504392,0.017105358,0.0059604333,0.01243089,0.00957913,0.005324074,0.0029634372,0.0009479851,0.0019880454,0.00604022,0.0034900971,0.013861365,0.0032632253,0.0065827444,0.0047270777,0.0028383804,0.009729603,0.006327774,0.014692266,0.015462201,0.009644589,0.011473415,0.002113492,0.0038224088,0.0038970558,0.0025242881,0.0090986,0.005600797,0.013662688,0.0082289,0.0053242785,0.003859172,0.00063656777,0.0006861929,0.0014203659,0.0018291707,0.002437599,0.0043338686,0.0033281962,0.0011558796,0.0010706,0.0016475058,0.0028638695,0.003304769,0.0020213735,0.0011548066,0.0008220601,0.0011381656,0.0010737497,0.00079780136,0.0005302066,0.00031982095,0.00070160546,0.0013284747,0.001651785,0.0015723093,0.0015217109,0.017442638,0.04096898,0.012390635,0.006377485,0.0046092295,0.0028014386,0.0014227681,0.0012419852,0.0011136499,0.00062315376,0.00027315607,0.0002488011,0.00030304142,0.0004129413,0.00047971884,0.0007528844,0.0008278772,0.00051556726,0.00045409144,0.00038333784,0.0004920983,0.00035841353,0.00014005156,0.0001097703,0.0001252403,0.00012816943,0.00015350702,0.00019509297,0.00020595835,0.00019570028,0.00013038464,0.00010647674,8.5653024e-05,7.809266e-05,8.312057e-05,0.000102427104,0.00014157358,0.00018630351,0.00016080082,0.00015741173,0.00022131357,0.00014286482,0.00023456017,0.00040676637,0.00045130015,0.0009430411,0.0012569911,0.0009134827,0.00083652383,0.00056682236,0.00029957114,0.00017883806,0.00010101258,0.0002208594,0.00025390834,0.00029563016,0.00038434003,0.00031403272,0.0004918346,0.00051814754,0.00020248056,0.00021770973,2.9110844e-05,0.5459119,0.42988914,0.37660262,0.31617054,0.2765914,0.2718185,0.24757288,0.2542011,0.31201768,0.358465,0.3619733,0.39330938,8.710084245782873,13.5457851520132,15.625099800143474,16.0577070966228,20.994403266059553,20.03436131248496,37.41480354897104,2873.8779720837124,2393.4843480724367,0.020700889,5147.798407832279,ABNORMAL
Cold (104),-470.3418,46.749065,-27.298592,-8.010821,-9.170153,-20.15704,-6.6902266,-16.62612,-1.1799586,-4.139494,-13.798428,2.273594,-15.907277,-0.47868693,0.12256165,0.08944955,-0.029163409,0.08867813,0.15867576,0.039875977,0.0064961324,-0.07113062,0.12749362,-0.049072284,-0.030284023,-0.004572054,-0.09487266,-0.10364049,0.0870511,0.05126235,0.007888449,0.10803676,0.068043076,0.008330561,-0.026292883,-0.024894627,0.044608463,-0.020459201,0.026355237,3.3651e-05,6.821536e-05,0.00022528302,0.00011569889,0.00025421684,0.00032023416,0.00067134935,0.005273486,0.0028181237,0.013095164,0.0061081727,0.012917217,0.0058831526,0.003269853,0.0016105693,0.0011232055,0.0024761052,0.0066627944,0.0038498265,0.014431095,0.0043923296,0.009237107,0.023051228,0.013841142,0.04449636,0.019863265,0.044480864,0.022585064,0.0140874935,0.032679338,0.00822655,0.016660193,0.016624946,0.010768682,0.034785207,0.009345561,0.019204399,0.0136704445,0.008845077,0.0116217425,0.0035899752,0.004000713,0.018849105,0.010401537,0.01035352,0.011246941,0.015349768,0.008209974,0.008205203,0.009177369,0.009610647,0.012640866,0.012575541,0.021149471,0.032231428,0.021226585,0.010496017,0.0091505945,0.013894428,0.020374358,0.020083746,0.011542159,0.008030845,0.0115351,0.01737884,0.023795256,0.011353008,0.005280028,0.009011092,0.009396894,0.005741263,0.0035757092,0.0031303484,0.002541972,0.002177693,0.0015483468,0.0012283678,0.0015808218,0.0018227859,0.0014873649,0.0013840388,0.002195486,0.0021700128,0.0020623195,0.0023867176,0.004912669,0.0054449565,0.0034945433,0.003933383,0.0042339317,0.0030147086,0.0031085608,0.003415592,0.0036654077,0.0040775524,0.0057383087,0.003892259,0.002614587,0.0014341034,0.0008123953,0.0013144834,0.00083398004,0.00050525833,0.00025795956,0.00013567045,0.00014285596,0.00024734082,0.0003601916,0.0003647081,0.00042040803,0.00069978053,0.0010922089,0.00076414546,0.0005360836,0.00041555348,0.00037824092,0.000600063,0.00037114145,0.00025921807,0.00054137444,0.00059983006,0.0005466117,0.0006025159,0.00046362067,0.0007278266,0.0006529937,0.00052515394,4.7491052e-05,0.37307498,0.38652316,0.42868307,0.39861754,0.3686886,0.33510715,0.28196314,0.31571668,0.33560145,0.43192384,0.4620108,0.40469712,8.411342184411481,13.584994592488354,15.97239492328276,16.48657906541803,20.378625822018666,21.514173074031195,39.5123770139012,2970.1551583583087,2465.6558188573363,0.025798628,5472.415114182692,ABNORMAL
Cold (105),-526.26874,50.010796,-6.0654364,13.048797,-0.83550465,-15.070166,1.3941628,-14.292078,-5.434994,-8.50396,-7.901736,-3.5271564,-12.302124,-0.0526962,0.037650198,0.23739201,0.018578032,0.08587321,0.012552497,0.03567997,0.052482545,-0.119567454,-0.053394455,-0.005512441,-0.038711708,-0.049006686,0.015341398,-0.12856558,-0.08515835,0.043266535,-0.08377078,-0.029735787,0.024562512,0.012123003,0.040601596,0.052706152,0.01824732,0.04167457,0.004574196,2.7049204e-05,5.4832584e-05,6.114715e-05,3.1403415e-05,5.9828293e-05,0.00019884364,0.00041873503,0.0043104487,0.002303481,0.016930241,0.005651154,0.011757235,0.003194137,0.0017752994,0.0036025539,0.0012238102,0.0025806443,0.004156548,0.0024016926,0.02306819,0.006799771,0.014235145,0.004133865,0.002482185,0.0034684876,0.0008996405,0.001843929,0.006602723,0.0041184667,0.019832253,0.0051759672,0.010590647,0.005817793,0.0037684306,0.009451259,0.002104678,0.0040284703,0.00077878084,0.00050388824,0.0010338837,0.00053222524,0.00060201006,0.0026470837,0.0014080222,0.0013749368,0.0014217695,0.0007625342,0.00049075583,0.00053305447,0.0007052148,0.0011016704,0.0023999414,0.0039363606,0.0069394493,0.006848687,0.0064719855,0.0049950704,0.0022420373,0.00080255157,0.000714259,0.0009763883,0.0020359224,0.0033506884,0.0022403053,0.0021144378,0.0022035171,0.0015255322,0.0018434977,0.0020654597,0.0010176073,0.00072993565,0.00048548888,0.00039192956,0.0004087863,0.00046435386,0.00037455466,0.00049473165,0.00052412524,0.00057204266,0.0008827679,0.0011312077,0.0012876036,0.002574851,0.0021020456,0.00088364165,0.00079302344,0.0006384906,0.00053314964,0.0005706203,0.00050326757,0.00029650374,0.00026322223,0.00031217845,0.0004321619,0.00040164692,0.00046316997,0.00034920807,0.0003794523,0.0002795621,0.00011052162,8.309553e-05,0.00017820581,0.00020730692,0.00012272158,6.1071456e-05,2.684833e-05,2.6118358e-05,3.7364734e-05,6.229198e-05,0.00018540911,0.00032084054,0.0003562637,0.00046246126,0.0003505494,0.00024048625,0.0002349206,0.00010299848,6.132829e-05,4.2764867e-05,6.522203e-05,0.00012017297,9.602754e-05,0.000112495516,0.00010032822,0.00017023334,0.00033513427,0.00022302884,1.7227985e-05,0.5495571,0.52654904,0.45319209,0.3595683,0.27331644,0.21591842,0.24146314,0.31989345,0.41600555,0.4470075,0.47590715,0.52083516,6.711079996730882,13.408352313667496,14.203140067424574,14.920702365246711,18.047420441389747,19.372738470382668,37.06150077227677,3059.797528552629,2755.2979813836037,0.034316815,6207.207909058989,ABNORMAL
Cold (106),-520.16406,40.135784,1.6446227,8.431052,-15.2614,-12.619063,-9.5662985,-17.510906,-0.8844661,-12.1705475,-5.3626423,-3.1981776,-5.3164473,0.01355434,-0.23335512,0.007506781,-0.09488345,-0.040579446,0.018106395,0.011986795,0.03519538,-0.0042321733,-0.0047654486,0.020197874,0.0019248809,-0.030370524,-0.36343014,-0.001973598,-0.045647647,-0.0071812673,-0.013150233,0.022805324,0.03929354,0.017621476,-0.008424533,-0.0028101786,0.00051987206,0.017696049,-0.026228568,6.0617726e-06,1.2288075e-05,2.4261939e-05,1.2460234e-05,6.936286e-05,0.00019441958,0.00040921097,0.003455323,0.0018465067,0.008970395,0.0030739899,0.0064050434,0.0019908014,0.0011064862,0.0002735543,0.00048259832,0.0010904393,0.006487495,0.003748536,0.023577139,0.0076820985,0.01630369,0.009579,0.005751725,0.01208206,0.008311329,0.019379742,0.008670115,0.005408007,0.0029535613,0.0012397816,0.0028039943,0.00567896,0.0036785027,0.017120669,0.0057786717,0.012679091,0.003026025,0.001957904,0.0004652794,0.00011001847,0.000121197925,0.0015720166,0.0015831167,0.0016382997,0.0018831977,0.0016806968,0.00082389865,0.0010669185,0.0019007897,0.0035835928,0.0055441773,0.003595075,0.0012724497,0.0006000489,0.000778731,0.00076510885,0.00049312203,0.00035436344,0.00028166347,0.0005988855,0.0007408059,0.00051004515,0.00048215443,0.0006538234,0.00117106,0.0019206244,0.0033671176,0.0048586903,0.004734429,0.005050305,0.0037784337,0.0024107983,0.0012372574,0.0006432841,0.0003339434,0.00023878714,0.00021450613,9.7066004e-05,0.00013908013,0.0001762073,0.00023050256,0.00033131885,0.0006200403,0.000519786,0.00053001114,0.00055007316,0.0004382862,0.0001967249,8.907439e-05,0.00018591492,0.0005635936,0.0008764401,0.0007819981,0.00037017316,0.00021744116,0.00023280935,0.00026605127,0.000331352,0.00039632255,0.0005310138,0.0004323739,0.0006306934,0.0005189891,0.00045769478,0.0004750423,0.0004201254,0.00029117154,0.00042423434,0.00030196985,0.00020216347,0.0003442613,0.0003134219,0.000240591,0.0001445081,4.0687184e-05,3.5445086e-05,6.121034e-05,4.506748e-05,3.0224875e-05,4.2645137e-05,0.00010616466,0.0001599908,0.00015478641,0.00017613302,0.00051919505,0.00042511625,3.9059767e-05,0.44378695,0.4509504,0.4363648,0.44456416,0.39540717,0.32751817,0.23572503,0.19475329,0.24233237,0.32197303,0.38871565,0.3591612,8.282329005488826,12.789939723468322,15.851345251220256,15.935390171492356,18.430244029019686,19.476538665658325,36.6064290469519,3289.716383196098,2648.309899351536,0.03289197,5992.7637625774,ABNORMAL
Cold (107),-496.42157,42.813313,-12.305569,-0.20949003,-8.485699,-20.322134,-11.316142,-14.938992,-0.59787136,-3.0942092,-5.9740415,-1.6741188,-13.326445,0.12709294,0.16736662,-0.17609525,-0.19152004,-0.08742808,0.07407937,-0.017086549,-0.07951223,0.109162785,0.08415209,0.118919596,0.06718991,-0.014098865,-0.33092862,0.051692504,0.09698421,0.03774147,0.038384806,-0.04324056,0.037637267,-0.008544899,0.004016011,-0.029702567,0.015760051,-0.012635905,0.027731635,5.592009e-06,1.1335799e-05,1.6886366e-05,8.672353e-06,3.4919733e-05,0.00028293458,0.0005967772,0.003643627,0.0019471352,0.0075964336,0.0023741194,0.004919914,0.0019829688,0.0011021327,0.0005406309,0.0006378547,0.0014298807,0.004331311,0.0025026728,0.014254298,0.009060319,0.020436553,0.015277683,0.009173507,0.011132155,0.0064096265,0.01473236,0.01642012,0.010242094,0.022159642,0.0071791704,0.015484912,0.014292556,0.009257893,0.01626313,0.004179217,0.008458256,0.0042898213,0.0027756086,0.0035601098,0.0012734454,0.0014264006,0.00225316,0.0020056632,0.0019355102,0.0018406247,0.0013074105,0.0014205395,0.001446497,0.0016830177,0.0028926316,0.0073581585,0.00724245,0.0056685596,0.0043146904,0.0030117224,0.0023794959,0.0025551901,0.0021829542,0.0018886523,0.002407835,0.0015512203,0.0014091515,0.0017049552,0.0014122763,0.0019045161,0.0039353436,0.005125795,0.0070805675,0.002630827,0.0028717467,0.0025873717,0.0014494454,0.0006950016,0.001100913,0.0009189592,0.00070628827,0.0011131744,0.0026709551,0.0019985,0.0009827932,0.00074931636,0.0008030946,0.0006365453,0.00034788196,0.00042362063,0.001491167,0.0008738536,0.00024920923,0.00026856104,9.342126e-05,7.2039904e-05,0.00017053909,0.00015782735,0.00011964573,0.00020287736,0.00021397174,0.0002761868,0.00024203722,0.00021924412,0.00021451987,0.00020206565,0.00036602918,0.0006025727,0.0005857032,0.0004641203,0.0003023961,0.0002885669,0.0003467666,0.00046386334,0.0008168517,0.000996821,0.0013101292,0.0013238031,0.0020434223,0.0009244813,0.00046737987,0.0006002179,0.0004882303,0.00030787976,0.0002161772,0.0007124166,0.0009242127,0.0011759801,0.001940245,0.0016846121,0.000844084,6.5509186e-05,0.3840034,0.38073722,0.40763444,0.39517447,0.33138087,0.34308133,0.3628992,0.31881464,0.32485044,0.36088854,0.40267465,0.34144306,8.196350108590646,11.732674216282378,14.151792652828346,15.362331215084424,19.163371692058043,19.038147465475138,37.93679982564535,3413.292775098995,2530.6257701893837,0.03634394,5866.834984756098,ABNORMAL
